2026-09-10 16:51:38,583 | INFO | hr_assistant.evaluations | Dataset 'hr_assistant_evaluation' already exists, reusing it
2026-09-10 16:51:38,935 | INFO | hr_assistant.vector_store | Loading existing Qdrant Cloud collection: hr_policy_assistant
2026-09-10 16:51:38,935 | INFO | hr_assistant.embeddings | Initializing embeddings model: jina-embeddings-v3
2026-09-10 16:51:40,020 | INFO | httpx | HTTP Request: GET https://7573185c-2a10-4832-8db8-1f63f4996c19.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-10 16:51:40,022 | INFO | hr_assistant.vector_store | Creating retriever with top 3 results.
2026-09-10 16:51:40,022 | INFO | hr_assistant.agent | Creating agent executor...
2026-09-10 16:51:40,023 | INFO | hr_assistant.llm | Initializing LLM model: via Portkey Gateway
2026-09-10 16:51:40,024 | INFO | hr_assistant.gateway | Creating ChatOpenAI instance with Portkey Gateway routing.
2026-09-10 16:51:40,346 | INFO | hr_assistant.agent | Agent executor created successfully.
2026-09-10 16:51:43,118 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:43,128 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 16:51:44,934 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:45,961 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:45,964 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 16:51:45,964 | INFO | hr_assistant.tools | Searching HR policy for: Within how many days must reimbursement claims be submitted?
2026-09-10 16:51:47,645 | INFO | httpx | HTTP Request: POST https://7573185c-2a10-4832-8db8-1f63f4996c19.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_assistant/points/search "HTTP/1.1 200 OK"
2026-09-10 16:51:47,648 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-10 16:51:48,697 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:49,035 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:49,037 | INFO | hr_assistant.guardrails | Output guard decision: True
2026-09-10 16:51:50,896 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:51,939 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:52,164 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:52,165 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 16:51:52,922 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:53,151 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:53,152 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 16:51:53,153 | INFO | hr_assistant.tools | Searching HR policy for: How many days of unused annual leave can I carry over to the next year?
2026-09-10 16:51:54,988 | INFO | httpx | HTTP Request: POST https://7573185c-2a10-4832-8db8-1f63f4996c19.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_assistant/points/search "HTTP/1.1 200 OK"
2026-09-10 16:51:54,990 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-10 16:51:55,886 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:56,097 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:56,099 | INFO | hr_assistant.guardrails | Output guard decision: True
2026-09-10 16:51:57,131 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:59,112 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:59,357 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:51:59,358 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 16:51:59,857 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:00,072 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:00,074 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 16:52:00,074 | INFO | hr_assistant.tools | Searching HR policy for: How many days of paid annual leave per year
2026-09-10 16:52:01,517 | INFO | httpx | HTTP Request: POST https://7573185c-2a10-4832-8db8-1f63f4996c19.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_assistant/points/search "HTTP/1.1 200 OK"
2026-09-10 16:52:01,518 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-10 16:52:02,405 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:02,596 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:02,598 | INFO | hr_assistant.guardrails | Output guard decision: True
2026-09-10 16:52:03,699 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:04,119 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 16:52:04,120 | INFO | openai._base_client | Retrying request in 1.000000 seconds
2026-09-10 16:52:06,271 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:06,578 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:06,579 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 16:52:07,396 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:07,703 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:07,705 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 16:52:07,705 | INFO | hr_assistant.tools | Searching HR policy for: Within how many days is full and final settlement processed?
2026-09-10 16:52:09,299 | INFO | httpx | HTTP Request: POST https://7573185c-2a10-4832-8db8-1f63f4996c19.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_assistant/points/search "HTTP/1.1 200 OK"
2026-09-10 16:52:09,300 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-10 16:52:09,660 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 16:52:09,661 | INFO | openai._base_client | Retrying request in 1.000000 seconds
2026-09-10 16:52:11,594 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:11,800 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:11,801 | INFO | hr_assistant.guardrails | Output guard decision: True
2026-09-10 16:52:12,619 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 16:52:12,620 | INFO | openai._base_client | Retrying request in 4.000000 seconds
2026-09-10 16:52:17,021 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 16:52:17,022 | INFO | openai._base_client | Retrying request in 1.000000 seconds
2026-09-10 16:52:19,376 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 16:52:19,787 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-10 16:52:19,787 | INFO | openai._base_client | Retrying request in 7.000000 seconds
